year,office,candidate,first_name_fix,middle_name_fix,last_name_fix,suffix_fix
2018,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MILTON STREET,MILTON,,STREET,SR
2002,REPRESENTATIVE IN THE GENERAL ASSEMBLY,SHARIF STREET,SHARIF,T,STREET,
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,SHARIF STREET,SHARIF,T,STREET,
2016,SENATOR IN THE GENERAL ASSEMBLY,SHARIF STREET,SHARIF,T,STREET,
2004,UNITED STATES SENATOR,BETSY SUMMERS,BETSY,ELIZABETH,SUMMERS,
2008,AUDITOR GENERAL,BETSY SUMMERS,BETSY,ELIZABETH,SUMMERS,
2007,CITY COMMISSIONERS,B BLAIR TALMADGE,BLAIR,,TALMADGE,
2010,SENATOR IN THE GENERAL ASSEMBLY,CHRISTINE TARTAGLIONE,CHRISTINE,M,TARTAGLIONE,
2007,DISTRICT COUNCIL,LAMONT THOMAS,LAMONT,W,THOMAS,
2010,SENATOR IN THE GENERAL ASSEMBLY,W LAMONT THOMAS,LAMONT,W,THOMAS,
2014,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LAMONT THOMAS,LAMONT,W,THOMAS,
2009,JUDGE OF THE MUNICIPAL COURT,LOPEZ THOMPSON,LOPEZ,T,THOMPSON,
2019,COUNCIL AT LARGE,DAN TINNEY,DANIEL,,TINNEY,
2017,CITY CONTROLLER,MICHAEL TOMLINSON,MICHAEL,J,TOMLINSON,
2013,CITY CONTROLLER,TERRENCE J TRACY JR,TERRENCE,J,TRACY,JR
2015,COUNCIL AT LARGE,TERRY TRACY,TERRENCE,J,TRACY,JR
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,EMILIO AGUSTIN VAZQUEZ,EMILIO,AGUSTIN,VAZQUEZ,
2010,UNITED STATES SENATOR,JOSEPH VODVARKA,JOSEPH,JOHN,VODVARKA,
2016,UNITED STATES SENATOR,JOSEPH J VODVARKA,JOSEPH,JOHN,VODVARKA,
2010,SENATOR IN THE GENERAL ASSEMBLY,LEANNA WASHINGTON,LEANNA,M,WASHINGTON,
2014,SENATOR IN THE GENERAL ASSEMBLY,LEANNA WASHINGTON,LEANNA,M,WASHINGTON,
2002,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G WATERS,RONALD,GRANVILLE,WATERS,
2004,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G WATERS,RONALD,GRANVILLE,WATERS,
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G WATERS,RONALD,GRANVILLE,WATERS,
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G WATERS,RONALD,GRANVILLE,WATERS,
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G WATERS,RONALD,GRANVILLE,WATERS,
2012,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G WATERS,RONALD,GRANVILLE,WATERS,
2015,JUSTICE OF THE SUPREME COURT,DAVID WECHT,DAVID,N,WECHT,
2007,SHERIFF,JACQUE WHAUMBUSH,JACQUE,P,WHAUMBUSH,
2011,SHERIFF,JACQUE WHAUMBUSH,JACQUE,P,WHAUMBUSH,
2002,SENATOR IN THE GENERAL ASSEMBLY,ANTHONY H WILLIAMS,ANTHONY,HARDY,WILLIAMS,
2006,SENATOR IN THE GENERAL ASSEMBLY,ANTHONY H WILLIAMS,ANTHONY,HARDY,WILLIAMS,
2003,DISTRICT COUNCIL,DEBORAH WILLIAMS,DEBORAH,L,WILLIAMS,
2016,REPRESENTATIVE IN CONGRESS,DEBORAH WILLIAMS,DEBORAH,L,WILLIAMS,
2012,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JEWEL WILLIAMS,JEWELL,,WILLIAMS,
2017,JUSTICE OF THE SUPREME COURT,DWAYNE WOODRUFF,DWAYNE,D,WOODRUFF,
2018,REPRESENTATIVE IN THE GENERAL ASSEMBLY,TOM WYATT,THOMAS,,WYATT,
2007,JUDGE OF THE SUPERIOR COURT,JOHN YOUNGE,JOHN,MILTON,YOUNGE,
2009,JUDGE OF THE SUPERIOR COURT,JOHN YOUNGE,JOHN,MILTON,YOUNGE,
2015,JUDGE OF THE COURT OF COMMON PLEAS,LYRIS YOUNGE,JOHN,MILTON,YOUNGE,
2003,JUDGE OF THE COURT OF COMMON PLEAS,PAULA PATRICK,PAULA,A,PATRICK,
2009,JUDGE OF THE SUPERIOR COURT,PAULA PATRICK,PAULA,A,PATRICK,
2015,JUSTICE OF THE SUPREME COURT,CHERYL ALLEN,CHERYL,LYNN,ALLEN,
2017,JUDGE OF THE COMMONWEALTH COURT,ELLEN CEISLER,ELLEN,GREEN,CEISLER,
2015,JUDGE OF THE COURT OF COMMON PLEAS,CHRIS MALLIOS,CHRISTOPHER,,MALLIOS,JR
